"","ORISPL","Facility","Net Power Output 2018 (GWh)","Primary Fuel Category","Announced Retirment Year","Weighted Sum Model Score (Prioritization Rank)","Emissions Health Costs (Millions) [Percentile]","Hazardous Air Pollutant Hazard (Billions) [Percentile]","Carbon Dioxide Emissions (Megatons) [Percentile]","Vulnerable Population within 5km (total) [Percentile]","Vulnerable Population within 10km (total) [Percentile]","Vulnerable Population within 50km (total) [Percentile]"
"87","8006","Roseton Generating LLC, Orange, NY",516.5,"Oil",NA,"276.4 (87)","$37.3 [92]","2.5 [36]","0.38 [82]","5,484 [57]","44,264 [73]","377,039 [66]"
"88","4042","Valley (WEPCO), Milwaukee, WI",276.1,"Gas",NA,"276.1 (88)","$5.2 [78]","0.4 [27]","0.39 [83]","140,992 [97]","302,232 [94]","569,236 [75]"
"89","3","Barry, Mobile, AL",3777.4,"Coal",NA,"275.5 (89)","$99.9 [95]","29 [46]","8.03 [98]","1,467 [35]","1,467 [20]","178,961 [53]"
"90","55701","Fremont Energy Center, Sandusky, OH",2225.3,"Gas",NA,"274.9 (90)","$17.2 [89]","15.4 [44]","1.66 [91]","3,779 [51]","8,140 [47]","190,158 [54]"
"91","10213","El Segundo Cogen, Los Angeles, CA",1186.3,"Gas",NA,"274.7 (91)","$49.5 [93]","NA [NA]","0.91 [88]","46,300 [88]","328,694 [95]","5,779,651 [97]"
"92","997","Michigan City Generating Station, LaPorte, IN",2040.5,"Coal","2028","274.2 (92)","$69.8 [94]","0.4 [27]","2.31 [93]","10,916 [68]","15,236 [55]","224,407 [57]"
"93","1571","Chalk Point, Prince Georges, MD",573.9,"Gas",NA,"273.9 (93)","$125.3 [96]","2.6 [37]","1.59 [91]","1,139 [30]","5,069 [39]","806,543 [80]"
"94","7238","Cane Island, Osceola, FL",1813.6,"Gas",NA,"273.7 (94)","$6.4 [81]","0.9 [31]","1.3 [90]","5,109 [56]","47,078 [73]","1,087,222 [84]"
"95","1008","R Gallagher, Floyd, IN",285.2,"Coal","2022","273.5 (95)","$37.1 [92]","0.2 [22]","0.31 [81]","37,111 [86]","113,040 [85]","339,316 [64]"
"96","983","Clifty Creek, Jefferson, IN",6369.3,"Coal",NA,"273.5 (96)","$159.8 [97]","6.4 [40]","7.03 [97]","2,944 [47]","4,925 [39]","63,581 [29]"
"97","1379","Shawnee, McCracken, KY",6285.4,"Coal",NA,"273.1 (97)","$890.5 [100]","9.9 [42]","7.99 [98]","2,188 [41]","3,264 [32]","48,193 [24]"
"98","6002","James H Miller Jr, Jefferson, AL",18325.2,"Coal",NA,"272.8 (98)","$48.8 [93]","45.2 [48]","20.16 [100]","NA [NA]","2,832 [30]","335,625 [64]"
"99","6090","Sherburne County, Sherburne, MN",12477.6,"Coal","2034","272.8 (99)","$356.1 [99]","38.3 [47]","14.2 [100]","532 [17]","1,746 [22]","104,210 [40]"
"100","1927","Riverside (1927), Hennepin, MN",1607.1,"Gas",NA,"272.7 (100)","$2.8 [69]","0.4 [27]","1.1 [89]","75,652 [93]","231,474 [92]","762,025 [80]"
"101","2706","Asheville, Buncombe, NC",1237.9,"Coal",NA,"272.4 (101)","$26.1 [91]","2.6 [37]","1.79 [92]","5,759 [58]","14,435 [54]","132,313 [46]"
"102","3611","O W Sommers, Bexar, TX",912.4,"Gas","2028","272.3 (102)","$5.7 [80]","37.7 [47]","0.64 [86]","1,810 [38]","15,301 [55]","1,137,205 [84]"
"103","1702","Dan E Karn, Bay, MI",53,"Gas",NA,"271.8 (103)","$72 [94]","1.9 [35]","3 [94]","2,555 [45]","16,368 [56]","113,591 [42]"
"104","1710","J H Campbell, Ottawa, MI",7660.7,"Coal",NA,"271.8 (104)","$175.9 [98]","3.6 [38]","8.48 [98]","497 [17]","3,906 [35]","276,832 [61]"
"105","54832","Brandywine Power Facility, Prince Georges, MD",677.6,"Gas",NA,"271.7 (105)","$7.6 [83]","0.6 [29]","0.55 [85]","8,332 [64]","44,199 [73]","1,667,959 [89]"
"106","3122","Homer City, Indiana, PA",5130.9,"Coal",NA,"271.6 (106)","$218.9 [98]","9.5 [42]","5.88 [97]","1,156 [30]","2,729 [30]","118,188 [43]"
"107","1402","Little Gypsy, St Charles, LA",1618.2,"Gas","2026","271.4 (107)","$18.9 [89]","1.1 [33]","1.02 [89]","3,488 [50]","18,346 [58]","500,233 [72]"
"108","7805","Richmond County Plant, Richmond, NC",6093.5,"Gas",NA,"271 (108)","$23.2 [90]","8.5 [42]","5.77 [97]","1,341 [33]","9,909 [50]","121,386 [44]"
"109","2517","Port Jefferson Energy Center, Suffolk, NY",329,"Gas",NA,"271 (109)","$17.7 [89]","0.8 [31]","0.28 [81]","7,590 [62]","31,476 [67]","859,952 [81]"
"110","8102","Gen J M Gavin, Gallia, OH",16006.2,"Coal",NA,"270.6 (110)","$785.1 [100]","93.4 [50]","15.82 [100]","244 [7]","3,244 [32]","52,055 [26]"
"111","3136","Keystone, Armstrong, PA",12417.6,"Coal",NA,"270.5 (111)","$803 [100]","71.1 [49]","12.67 [99]","159 [3]","1,262 [17]","131,688 [46]"
"112","3809","Yorktown Power Station, York, VA",626.1,"Coal",NA,"270 (112)","$128 [97]","1.8 [35]","0.6 [86]","1,045 [28]","19,281 [59]","454,876 [70]"
"113","6257","Scherer, Monroe, GA",15420.4,"Coal",NA,"269.9 (113)","$131.9 [97]","6.3 [40]","18.26 [100]","813 [24]","1,615 [21]","193,289 [54]"
"114","602","Brandon Shores, Anne Arundel, MD",4732.2,"Coal",NA,"269.9 (114)","$472.1 [100]","NA [NA]","5.52 [96]","5,714 [58]","58,300 [76]","1,591,151 [88]"
"115","6146","Martin Lake, Rusk, TX",14049.8,"Coal",NA,"269.3 (115)","$960.7 [100]","1285.1 [50]","16.27 [100]","NA [NA]","1,303 [18]","107,252 [41]"
"116","1073","Prairie Creek, Linn, IA",65.8,"Gas",NA,"269.2 (116)","$27 [91]","6.5 [40]","0.35 [82]","9,751 [66]","27,749 [65]","88,997 [37]"
"117","6085","R M Schahfer Generating Station, Jasper, IN",6771.6,"Coal","2021","269.2 (117)","$197.8 [98]","20.4 [46]","8.81 [98]","349 [12]","1,490 [20]","157,308 [50]"
"118","3612","V H Braunig, Bexar, TX",3623.1,"Gas","2024","269.1 (118)","$9.1 [84]","0.9 [31]","2.01 [92]","2,142 [41]","17,669 [57]","1,105,547 [84]"
"119","1167","Muscatine, Muscatine, IA",797.8,"Coal",NA,"268.7 (119)","$58.8 [94]","3.5 [38]","1.31 [90]","4,603 [55]","7,728 [46]","101,287 [40]"
"120","3399","Cumberland, Stewart, TN",10441.1,"Coal",NA,"268.4 (120)","$268.5 [99]","101.3 [50]","11.14 [99]","168 [4]","1,371 [18]","103,211 [40]"
"121","6018","East Bend, Boone, KY",2792.7,"Coal",NA,"268.3 (121)","$115.1 [96]","45.7 [48]","3.23 [95]","50 [0]","1,878 [24]","331,603 [64]"
"122","50530","Equilon Los Angeles Refining, Los Angeles, CA",369.3,"Other",NA,"268.1 (122)","$16.9 [88]","NA [NA]","0.4 [83]","148,676 [97]","443,194 [97]","5,823,720 [97]"
"123","3453","Mountain Creek Generating Station, Dallas, TX",408.7,"Gas",NA,"267.7 (123)","$3.5 [73]","0.2 [22]","0.31 [81]","44,535 [88]","253,516 [93]","2,634,544 [94]"
"124","3118","Conemaugh, Indiana, PA",11445.4,"Coal",NA,"267.3 (124)","$231.1 [98]","25.8 [46]","11.72 [99]","510 [17]","1,205 [16]","92,169 [38]"
"125","55438","Elgin Energy Center, LLC, Kane, IL",233.4,"Gas",NA,"267.2 (125)","$3.3 [71]","1.2 [33]","0.16 [77]","25,363 [80]","109,288 [85]","2,108,392 [93]"
"126","2712","Roxboro, Person, NC",2719.4,"Coal",NA,"267.1 (126)","$135.7 [97]","59.3 [49]","6.44 [97]","342 [11]","1,176 [16]","125,027 [45]"
"127","6138","Flint Creek Power Plant, Benton, AR",2669.7,"Coal",NA,"267.1 (127)","$31.6 [92]","2.2 [36]","2.95 [94]","1,401 [34]","9,891 [50]","178,724 [53]"
"128","6705","Alcoa Allowance Management Inc, Warrick, IN",4336.6,"Coal",NA,"267 (128)","$269.1 [99]","28 [46]","5.37 [96]","114 [2]","3,891 [35]","106,106 [41]"
"129","6155","Rush Island, Jefferson, MO",7766.2,"Coal","2039","266.9 (129)","$428 [99]","61.7 [49]","7.74 [98]","NA [NA]","1,063 [14]","140,611 [47]"
"130","2079","Hawthorn, Jackson, MO",102.7,"Gas",NA,"266.8 (130)","$105.5 [96]","NA [NA]","2.87 [94]","17,021 [74]","91,825 [82]","539,206 [74]"
"131","6264","Mountaineer (1301), Mason, WV",5710,"Coal",NA,"266.8 (131)","$111.6 [96]","31.8 [47]","5.98 [97]","862 [26]","2,432 [28]","60,738 [29]"
"132","10692","ExxonMobil Baytown Turbine, Harris, TX",2657.7,"Gas",NA,"266.8 (132)","$42.4 [93]","NA [NA]","2 [92]","25,211 [80]","53,336 [75]","1,832,974 [90]"
"133","52109","Richmond Cogen, Contra Costa, CA",770.1,"Gas",NA,"266.3 (133)","$27.3 [91]","NA [NA]","0.67 [87]","50,813 [90]","127,466 [87]","1,769,965 [89]"
"134","6071","Trimble County, Trimble, KY",9025.8,"Coal",NA,"266.1 (134)","$166 [97]","15.5 [44]","8.42 [98]","233 [6]","1,433 [19]","182,949 [53]"
"135","58069","PRSI FCC Generator, Harris, TX",0.9,"Oil",NA,"265.8 (135)","$39.3 [92]","NA [NA]","0.27 [80]","61,446 [91]","295,632 [94]","2,682,115 [94]"
"136","26","E C Gaston, Shelby, AL",5327.4,"Coal",NA,"265.8 (136)","$78.8 [95]","2.7 [37]","5.67 [96]","730 [23]","2,314 [27]","308,994 [63]"
"137","3441","Nueces Bay, Nueces, TX",2038.6,"Gas",NA,"265.6 (137)","$4.3 [76]","0.6 [29]","0.99 [89]","23,250 [78]","74,678 [79]","236,418 [58]"
"138","6768","Sikeston, Scott, MO",1796.8,"Coal",NA,"265.2 (138)","$110.2 [96]","1.9 [35]","1.87 [92]","5,220 [56]","7,597 [45]","48,939 [25]"
"139","54451","Los Angeles Refinery Wilmington, Los Angeles, CA",412.1,"Other Fossil",NA,"265.1 (139)","$16.7 [88]","NA [NA]","0.31 [81]","112,523 [96]","310,778 [95]","5,630,137 [96]"
"140","1355","E W Brown, Mercer, KY",2526.4,"Coal",NA,"264.8 (140)","$81.1 [95]","7.6 [42]","2.81 [94]","706 [22]","2,348 [27]","190,468 [54]"
"141","3548","Decker Creek, Travis, TX",830.9,"Gas",NA,"264.2 (141)","$3.8 [74]","0.3 [25]","0.63 [86]","17,168 [74]","104,749 [84]","700,486 [78]"
"142","2876","Kyger Creek, Gallia, OH",5801.1,"Coal",NA,"264 (142)","$193.2 [98]","13.8 [44]","6.52 [97]","392 [14]","4,080 [36]","51,243 [25]"
"143","50647","Covanta Indianapolis Energy, Marion, IN",45.1,"Other",NA,"263.9 (143)","$102.9 [96]","NA [NA]","0.73 [87]","28,978 [82]","145,920 [88]","538,278 [74]"
"144","628","Crystal River, Citrus, FL",5042.7,"Coal",NA,"263.9 (144)","$247.7 [99]","41.3 [48]","10.46 [99]","337 [11]","1,050 [14]","67,479 [30]"
"145","2039","Elk River, Sherburne, MN",159.9,"Other",NA,"263.8 (145)","$15.5 [88]","3.7 [38]","0.43 [84]","3,470 [50]","5,793 [42]","463,577 [71]"
"146","492","Martin Drake, El Paso, CO",921.8,"Coal","2022","263.7 (146)","$3.4 [72]","0.6 [29]","1.18 [90]","27,697 [81]","102,061 [84]","200,380 [55]"
"147","2049","Watson Electric Generating Plant, Harrison, MS",1352.9,"Gas",NA,"263.5 (147)","$5.7 [80]","1.3 [34]","0.92 [88]","11,777 [69]","39,368 [71]","136,288 [46]"
"148","2094","Sibley, Jackson, MO",966.3,"Coal",NA,"263.4 (148)","$66.9 [94]","30.2 [46]","1.06 [89]","388 [13]","1,423 [19]","437,222 [69]"
"149","50028","Plant 31 Paper Mill, Ouachita, LA",244.7,"Gas",NA,"263.3 (149)","$1001.9 [100]","NA [NA]","13.14 [99]","18,521 [75]","50,871 [74]","112,313 [42]"
"150","1363","Cane Run, Jefferson, KY",3016.2,"Gas",NA,"262.9 (150)","$9.6 [85]","0.1 [18]","1.94 [92]","7,655 [62]","59,969 [76]","344,728 [64]"
"151","1356","Ghent, Carroll, KY",11264.7,"Coal",NA,"262.8 (151)","$449.6 [99]","16.6 [45]","11.73 [99]","293 [9]","1,314 [18]","71,488 [32]"
"152","56051","THUMS, Los Angeles, CA",349.7,"Gas",NA,"262.7 (152)","$13.5 [87]","NA [NA]","0.21 [79]","131,487 [97]","371,332 [96]","5,711,196 [97]"
"153","2850","J M Stuart, Adams, OH",2077.5,"Coal",NA,"262.4 (153)","$89.7 [95]","27.6 [46]","2.24 [93]","1,059 [29]","4,400 [37]","35,423 [19]"
"154","6073","Daniel Electric Generating Plant, Jackson, MS",2351.6,"Coal",NA,"262.2 (154)","$17.1 [89]","8.6 [42]","6.41 [97]","407 [14]","3,199 [32]","226,686 [57]"
"155","3459","Sabine, Orange, TX",4191.5,"Gas","2026","261.7 (155)","$25.6 [91]","2.8 [37]","2.69 [94]","775 [24]","7,648 [46]","157,240 [50]"
"156","56798","Kleen Energy Systems Project, Middlesex, CT",1598.9,"Gas",NA,"261.6 (156)","$5.6 [79]","0.6 [30]","1.13 [89]","5,370 [57]","16,760 [56]","657,420 [77]"
"157","55084","Crockett Cogen Project, Contra Costa, CA",1372.9,"Gas",NA,"261.5 (157)","$28.4 [91]","NA [NA]","0.74 [87]","23,061 [78]","90,703 [82]","1,736,204 [89]"
"158","995","Bailly Generating Station, Porter, IN",184,"Coal",NA,"261.4 (158)","$7.5 [83]","10.2 [43]","0.3 [81]","1,344 [33]","10,240 [50]","1,053,692 [84]"
"159","56046","Magnolia, Los Angeles, CA",925.8,"Gas",NA,"261.3 (159)","$6 [80]","NA [NA]","0.67 [87]","61,658 [91]","336,153 [95]","5,605,089 [96]"
"160","6190","Brame Energy Center, Rapides, LA",2707.4,"Coal",NA,"260.8 (160)","$127.3 [96]","5.1 [39]","7.71 [98]","1,082 [29]","1,837 [23]","64,650 [30]"
"161","335","AES Huntington Beach, Orange, CA",319.5,"Gas",NA,"260.8 (161)","$3.4 [72]","0.1 [21]","0.22 [79]","33,570 [84]","127,159 [87]","4,459,069 [96]"
"162","2167","New Madrid Power Plant, New Madrid, MO",7902.5,"Coal",NA,"260.8 (162)","$366.8 [99]","39.8 [48]","7.57 [98]","142 [3]","1,777 [23]","46,448 [23]"
"163","2840","Conesville, Coshocton, OH",4117.5,"Coal",NA,"260.4 (163)","$212.2 [98]","18.8 [45]","4.69 [96]","116 [2]","2,864 [30]","71,311 [31]"
"164","2240","Lon D Wright Power Plant, Dodge, NE",359.2,"Coal",NA,"259.9 (164)","$18.7 [89]","1.2 [33]","0.44 [84]","6,071 [59]","8,299 [47]","197,227 [54]"
"165","54547","Independence, Oswego, NY",3326.4,"Gas",NA,"259.9 (165)","$18.2 [89]","17.6 [45]","2.23 [93]","979 [27]","7,278 [45]","53,480 [26]"
"166","10436","ExxonMobil Baytown Refinery, Harris, TX",1109,"Gas",NA,"259.9 (166)","$19.3 [89]","NA [NA]","0.91 [88]","32,098 [83]","52,982 [75]","1,742,883 [89]"
"167","8023","Columbia, Columbia, WI",6641.7,"Coal","2023","259.8 (167)","$103.9 [96]","3.6 [38]","7.89 [98]","366 [13]","2,486 [28]","118,106 [43]"
"168","7902","H W Pirkey Power Plant, Harrison, TX",4585.2,"Coal","2023","259.6 (168)","$95.2 [95]","15.7 [44]","5.8 [97]","NA [NA]","2,472 [28]","110,223 [41]"
"169","6041","H L Spurlock, Mason, KY",7772.1,"Coal",NA,"259.6 (169)","$167.6 [98]","7.5 [41]","8.1 [98]","486 [16]","2,869 [31]","41,728 [21]"
"170","6052","Wansley (6052), Heard, GA",2791.3,"Coal",NA,"259.6 (170)","$89 [95]","10.2 [43]","3.31 [95]","NA [NA]","2,021 [25]","228,716 [57]"
"171","6068","Jeffrey Energy Center, Pottawatomie, KS",9498.8,"Coal",NA,"259.4 (171)","$81.4 [95]","42.2 [48]","10.98 [99]","300 [9]","846 [12]","71,111 [31]"
"172","1769","Presque Isle, Marquette, MI",1407,"Coal",NA,"259.3 (172)","$154.9 [97]","1.1 [33]","1.87 [92]","5,828 [58]","6,925 [44]","14,715 [9]"
