"","ORISPL","Facility","Net Power Output 2018 (GWh)","Primary Fuel Category","Announced Retirment Year","Weighted Sum Model Score (Prioritization Rank)","Emissions Health Costs (Millions) [Percentile]","Hazardous Air Pollutant Hazard (Billions) [Percentile]","Carbon Dioxide Emissions (Megatons) [Percentile]","Vulnerable Population within 5km (total) [Percentile]","Vulnerable Population within 10km (total) [Percentile]","Vulnerable Population within 50km (total) [Percentile]"
"983","10008","Baptist Medical Center, Duval, FL",19.6,"Gas",NA,"166.6 (983)","$0.3 [35]","NA [NA]","0.02 [49]","38,282 [86]","150,489 [89]","464,456 [71]"
"984","55538","Escondido Energy Center, LLC, San Diego, CA",25.3,"Gas",NA,"166.5 (984)","$0.1 [30]","NA [NA]","0.02 [48]","64,273 [92]","131,850 [88]","1,168,005 [85]"
"985","3490","Graham, Young, TX",131.2,"Gas",NA,"166.4 (985)","$0.9 [50]","0.1 [18]","0.09 [72]","1,932 [39]","3,284 [33]","10,435 [6]"
"986","54974","Sauder Power Plant, Fulton, OH",27.1,"Other",NA,"166.4 (986)","$2.2 [64]","NA [NA]","0.1 [73]","1,399 [34]","2,013 [25]","58,246 [28]"
"987","6243","Roland C. Dansby Power Plant, Brazos, TX",139.8,"Gas",NA,"166.2 (987)","$0.6 [46]","NA [NA]","0.12 [75]","1,750 [37]","17,479 [57]","111,114 [42]"
"988","7456","Rathdrum Combustion Turbine Project, Kootenai, ID",145.1,"Gas",NA,"166.2 (988)","$0.2 [32]","0 [15]","0.09 [72]","2,406 [43]","9,313 [49]","142,399 [47]"
"989","54933","Mondelez Global LLC, Winnebago, IL",15.5,"Gas",NA,"165.8 (989)","$0.7 [47]","NA [NA]","0.02 [49]","19,515 [76]","75,357 [79]","210,533 [56]"
"990","55738","Buchanan Units 1 & 2, Buchanan, VA",196.5,"Gas",NA,"165.6 (990)","$1.1 [53]","0.1 [18]","0.11 [74]","742 [23]","1,386 [19]","42,977 [22]"
"991","56190","Central Michigan University, Isabella, MI",30.5,"Gas",NA,"165.6 (991)","$1.1 [53]","NA [NA]","0.03 [58]","15,548 [73]","17,318 [57]","70,078 [31]"
"992","54333","Bucknell University, Union, PA",36.2,"Gas",NA,"165.5 (992)","$1.5 [58]","NA [NA]","0.04 [64]","3,601 [51]","7,725 [46]","86,557 [35]"
"993","61758","Gaston County Renewable Energy Center, Gaston, NC",29.6,"Other",NA,"165.5 (993)","$1.6 [58]","NA [NA]","0.02 [54]","1,052 [29]","12,364 [52]","689,623 [78]"
"994","56312","Shute Creek Facility, Lincoln, WY",848.2,"Other Fossil",NA,"165.4 (994)","$5.7 [80]","NA [NA]","0.6 [86]","NA [NA]","NA [NA]","1,040 [0]"
"995","55554","Coastal Plains, Galveston, TX",14.6,"Other",NA,"165 (995)","$0.9 [50]","NA [NA]","0.01 [46]","4,095 [53]","25,988 [64]","1,643,233 [88]"
"996","3170","Southwark, Philadelphia, PA",1.2,"Oil",NA,"164.9 (996)","$0.3 [37]","0 [5]","0 [28]","124,435 [96]","493,620 [98]","1,886,828 [91]"
"997","56803","Panoche Energy Center, Fresno, CA",615.8,"Gas",NA,"164.8 (997)","$1.3 [55]","0 [15]","0.34 [82]","NA [NA]","1,000 [14]","51,948 [26]"
"998","60457","Athens Energy, Somerset, ME",58.1,"Other",NA,"164.7 (998)","$6.9 [82]","NA [NA]","0.1 [74]","NA [NA]","831 [12]","29,752 [16]"
"999","55522","Sundance Power Plant, Pinal, AZ",31.7,"Gas",NA,"164.7 (999)","$0.4 [38]","NA [NA]","0.25 [80]","1,379 [34]","8,438 [47]","242,344 [59]"
"1000","57846","SX Landfill Energy LLC, Sussex, NJ",13.3,"Other",NA,"164.7 (1000)","$3.5 [72]","NA [NA]","0.01 [44]","1,177 [31]","7,857 [46]","442,375 [70]"
"1001","56163","Kennecott Power Plant, Salt Lake, UT",21,"Gas",NA,"164.4 (1001)","$0.3 [37]","NA [NA]","0.04 [63]","7,080 [61]","28,143 [65]","416,211 [67]"
"1002","55236","Lee County Generating Station, LLC, Lee, IL",86.1,"Gas",NA,"164.3 (1002)","$0.6 [43]","1 [32]","0.07 [69]","238 [6]","3,232 [32]","38,266 [20]"
"1003","54951","Monterey One Water, Monterey, CA",8.7,"Other",NA,"164.3 (1003)","$1.6 [59]","NA [NA]","0.01 [39]","10,019 [67]","32,474 [68]","364,840 [65]"
"1004","58948","Bristol Myers Squibb Wallingford, New Haven, CT",17.7,"Gas",NA,"164 (1004)","$1.1 [53]","NA [NA]","0.02 [48]","2,972 [47]","26,785 [64]","692,276 [78]"
"1005","3160","Delaware Generating Station, Philadelphia, PA",1,"Oil",NA,"164 (1005)","$0.3 [36]","0 [5]","0 [28]","229,138 [98]","766,655 [98]","1,870,993 [91]"
"1006","61761","Douglas County Forest Products, Douglas, OR",27.9,"Other",NA,"164 (1006)","$1.2 [54]","NA [NA]","0.12 [74]","2,389 [43]","8,484 [48]","25,746 [15]"
"1007","59808","Munster Landfill Gas-to-Energy, Lake, IN",3.4,"Other",NA,"163.9 (1007)","$0.8 [48]","NA [NA]","0 [32]","19,036 [76]","100,898 [84]","2,106,547 [93]"
"1008","58813","Alpaca, Bradford, PA",30.8,"Gas",NA,"163.9 (1008)","$8.1 [83]","NA [NA]","0.03 [61]","626 [20]","1,177 [16]","45,454 [23]"
"1009","59574","Southeast Berrien Generating Facility, Berrien, MI",24.7,"Other",NA,"163.9 (1009)","$2.5 [67]","NA [NA]","0.01 [47]","1,932 [39]","12,720 [52]","237,960 [59]"
"1010","50936","Winnebago County Landfill Gas, Winnebago, WI",14.8,"Other",NA,"163.7 (1010)","$2.6 [67]","NA [NA]","0.01 [47]","3,541 [50]","17,452 [57]","96,496 [39]"
"1011","56554","Salt Lake Energy Systems, Salt Lake, UT",25.9,"Other",NA,"163.7 (1011)","$0.6 [44]","NA [NA]","0.02 [51]","4,589 [55]","95,936 [83]","438,901 [69]"
"1012","56356","Clearwater Power Plant, Riverside, CA",11.5,"Gas",NA,"163.5 (1012)","$0.2 [34]","NA [NA]","0.01 [40]","45,875 [88]","126,646 [87]","4,217,213 [96]"
"1013","58818","Milan, Bradford, PA",30.1,"Gas",NA,"163.3 (1013)","$8 [83]","NA [NA]","0.03 [61]","312 [10]","1,725 [22]","55,052 [27]"
"1014","56851","Bryon Center, KENT, MI",21.2,"Other",NA,"163.2 (1014)","$2.8 [69]","NA [NA]","0.01 [47]","807 [24]","17,354 [57]","270,681 [60]"
"1015","58526","Uwharrie Mountain Renewable, Montgomery, NC",60.3,"Other",NA,"163.1 (1015)","$3 [69]","NA [NA]","0.04 [64]","604 [20]","2,995 [31]","94,565 [39]"
"1016","2831","Dynegy Dicks Creek, LLC, Butler, OH",2.2,"Gas",NA,"163 (1016)","$0.4 [40]","0 [16]","0.01 [37]","11,969 [70]","29,313 [66]","664,818 [77]"
"1017","58597","HTW Plant 303 COGEN, Salt Lake, UT",32.6,"Gas",NA,"163 (1017)","$0.2 [31]","NA [NA]","0.02 [54]","25,538 [80]","94,695 [83]","446,779 [70]"
"1018","52086","Coalinga 25D Cogen, Fresno, CA",71.4,"Gas",NA,"162.9 (1018)","$1.1 [53]","NA [NA]","0.07 [69]","6,811 [61]","6,811 [44]","31,986 [17]"
"1019","59774","BioTown Ag, White, IN",34.8,"Other",NA,"162.8 (1019)","$10.6 [86]","NA [NA]","0.03 [57]","154 [3]","1,789 [23]","84,720 [35]"
"1020","70454","Hartwell Energy Facility, Hart, GA",183.7,"Gas",NA,"162.7 (1020)","$1 [51]","NA [NA]","0.14 [76]","854 [25]","4,309 [36]","125,149 [45]"
"1021","60276","West Groton CHP, Middlesex, MA",22.3,"Gas",NA,"162.7 (1021)","$1.6 [58]","NA [NA]","0.02 [56]","864 [26]","7,400 [45]","620,310 [76]"
"1022","50721","Tazewell Gas Recovery, Tazewell, IL",17.1,"Other",NA,"162.6 (1022)","$1.8 [60]","NA [NA]","0.01 [46]","4,373 [54]","40,409 [71]","117,318 [43]"
"1023","56039","H. Gonzales, Los Angeles, CA",4,"Gas",NA,"162.5 (1023)","$0.2 [32]","NA [NA]","0 [32]","333,970 [99]","1,353,037 [99]","6,512,656 [98]"
"1024","56962","Iredell County LFG Facility, Iredell, NC",23.7,"Other",NA,"162.5 (1024)","$1.2 [55]","NA [NA]","0.02 [49]","5,595 [58]","18,011 [58]","294,725 [62]"
"1025","56680","Wicomico, Wicomico, MD",16.3,"Other",NA,"162.5 (1025)","$1.4 [57]","NA [NA]","0.01 [44]","16,459 [74]","31,842 [68]","119,444 [44]"
"1026","55163","MM Hartford Energy, Hartford, CT",2.5,"Other",NA,"162.4 (1026)","$0.7 [46]","NA [NA]","0 [30]","75,974 [93]","156,068 [89]","639,847 [77]"
"1027","55054","Livingston Generating Facility, Livingston, IL",69.5,"Other",NA,"162.4 (1027)","$3 [70]","NA [NA]","0.08 [71]","463 [16]","3,821 [35]","26,159 [16]"
"1028","56682","Brunswick Landfill Gas, Brunswick, VA",49.8,"Other",NA,"162.3 (1028)","$2.7 [68]","NA [NA]","0.03 [62]","1,393 [34]","4,225 [36]","64,108 [29]"
"1029","7725","Coffin Butte, Benton, OR",41.9,"Other",NA,"162.2 (1029)","$3.2 [71]","NA [NA]","0.03 [59]","574 [19]","2,155 [25]","177,627 [52]"
"1030","56185","Chowchilla II, Madera, CA",18.4,"Gas",NA,"161.9 (1030)","$1.9 [62]","NA [NA]","0.01 [44]","5,685 [58]","9,643 [49]","282,216 [61]"
"1031","55753","Sonoma Central Landfill Phase II, Sonoma, CA",14,"Other",NA,"161.8 (1031)","$2 [63]","NA [NA]","0.01 [43]","2,384 [43]","23,761 [62]","303,779 [62]"
"1032","2135","Station H, Jackson, MO",9.8,"Gas",NA,"161.7 (1032)","$0.4 [40]","NA [NA]","0.02 [48]","18,581 [75]","40,662 [71]","528,233 [74]"
"1033","58897","Temple SEGF, Philadelphia, PA",1.1,"Gas",NA,"161.6 (1033)","$0.4 [40]","NA [NA]","0 [26]","256,344 [98]","854,165 [98]","1,878,958 [91]"
"1034","58546","Watervliet, Berrien, MI",25.8,"Other",NA,"161.3 (1034)","$3 [70]","NA [NA]","0.02 [51]","2,196 [42]","5,578 [41]","93,318 [38]"
"1035","60536","UA Central Utility Plant, Washington, AR",37.9,"Gas",NA,"161.3 (1035)","$0.4 [39]","NA [NA]","0.03 [57]","21,572 [78]","32,263 [68]","161,020 [51]"
"1036","60102","Lorin Industries, Muskegon, MI",9.1,"Gas",NA,"160.9 (1036)","$1.5 [57]","NA [NA]","0.01 [36]","31,578 [83]","43,992 [73]","143,757 [48]"
"1037","59143","Front Range Project, Weld, CO",14.4,"Other",NA,"160.9 (1037)","$1 [51]","NA [NA]","0.02 [49]","2,772 [46]","15,324 [55]","915,727 [82]"
"1038","60571","North City Cogeneration Facility, San Diego, CA",6.3,"Other",NA,"160.9 (1038)","$0.5 [40]","NA [NA]","0 [35]","33,663 [84]","131,686 [87]","1,344,361 [87]"
"1039","55802","Valencia Power Plant, Valencia, NM",33.2,"Gas",NA,"160.9 (1039)","$0.2 [34]","0 [9]","0.07 [70]","4,172 [54]","11,496 [51]","110,950 [42]"
"1040","59809","Mountain Home Energy Center, Washington, TN",14.2,"Gas",NA,"160.8 (1040)","$1.5 [58]","NA [NA]","0.01 [43]","15,687 [73]","24,794 [63]","127,966 [45]"
"1041","59647","Stillwater Energy Center, Payne, OK",34.5,"Gas",NA,"160.7 (1041)","$1.8 [60]","NA [NA]","0.02 [52]","8,331 [64]","21,287 [61]","44,377 [22]"
"1042","3162","Falls, Bucks, PA",2,"Oil",NA,"160.6 (1042)","$0.6 [45]","NA [NA]","0 [30]","22,792 [78]","122,750 [86]","1,873,657 [91]"
"1043","57071","Denton Power LLC, Denton, TX",12.2,"Other",NA,"160.3 (1043)","$0.4 [40]","NA [NA]","0.01 [40]","20,969 [77]","60,057 [76]","1,299,369 [86]"
"1044","57025","Waste Management Eco Vista LFGTE, Washington, AR",33.2,"Other",NA,"160.1 (1044)","$1.6 [58]","NA [NA]","0.02 [56]","900 [26]","19,982 [60]","165,569 [52]"
"1045","57916","Spreckels Sugar Company, Imperial, CA",20,"Gas",NA,"160.1 (1045)","$0.5 [42]","NA [NA]","0.06 [69]","2,428 [44]","23,490 [62]","117,063 [43]"
"1046","2330","Fort Churchill, Lyon, NV",479.8,"Gas","2025","160 (1046)","$0.9 [50]","0.3 [25]","0.34 [82]","NA [NA]","NA [NA]","15,369 [10]"
"1047","57433","Bellefontaine Gas Producers LLC, Logan, OH",37.8,"Other",NA,"159.9 (1047)","$4.5 [77]","NA [NA]","0.03 [60]","276 [8]","3,401 [33]","57,764 [28]"
"1048","58219","GL Dairy Biogas, Dane, WI",11.5,"Other",NA,"159.8 (1048)","$3.7 [73]","NA [NA]","0.01 [39]","2,177 [41]","16,556 [56]","133,028 [46]"
"1049","57581","Allenwood, Lycoming, PA",25.4,"Other",NA,"159.7 (1049)","$2.7 [68]","NA [NA]","0.02 [50]","3,924 [52]","5,873 [42]","75,365 [33]"
"1050","57018","Waste Management Middle Peninsula LFGTE, Middlesex, VA",51.2,"Other",NA,"159.7 (1050)","$4.1 [75]","NA [NA]","0.04 [63]","262 [8]","1,074 [15]","115,512 [43]"
"1051","7988","Silver Creek Generating Plant, Jefferson Davis, MS",132.4,"Gas",NA,"159.5 (1051)","$0.5 [41]","0 [17]","0.1 [73]","1,176 [31]","2,126 [25]","61,300 [29]"
"1052","972","Winnetka, Cook, IL",3.1,"Gas",NA,"159.5 (1052)","$0.4 [39]","0 [12]","0 [33]","4,287 [54]","56,223 [76]","2,571,551 [94]"
"1053","61737","Navy Yard Peaker Station, Philadelphia, PA",1.2,"Gas",NA,"159.4 (1053)","$0.5 [41]","NA [NA]","0 [26]","61,863 [91]","398,017 [96]","1,834,356 [90]"
"1054","6223","Empire District Elec Co Energy Ctr, Jasper, MO",80.3,"Gas","2026","159.4 (1054)","$0.8 [48]","0.1 [20]","0.1 [73]","380 [13]","1,051 [14]","67,260 [30]"
"1055","56687","Mountain View, Franklin, PA",30.6,"Other",NA,"159.3 (1055)","$3.6 [73]","NA [NA]","0.02 [54]","745 [23]","2,641 [29]","119,028 [44]"
"1056","56463","Oak Ridge LFGTE, Cass, IN",20.5,"Other",NA,"159.2 (1056)","$2.2 [65]","NA [NA]","0.02 [49]","6,406 [60]","8,939 [48]","62,359 [29]"
"1057","57789","Peak Power 1 Cogen, New York, NY",0.5,"Gas",NA,"159.2 (1057)","$0.4 [38]","NA [NA]","0 [22]","436,594 [99]","1,639,884 [99]","7,277,618 [100]"
"1058","7336","Anderson, Madison, IN",7.1,"Gas",NA,"158.9 (1058)","$0.7 [46]","0 [10]","0.01 [41]","4,228 [54]","23,799 [62]","421,334 [68]"
"1059","58075","El Dorado Refinery, Butler, KS",67,"Gas",NA,"158.8 (1059)","$0.8 [49]","NA [NA]","0.05 [67]","2,443 [44]","3,300 [33]","167,874 [52]"
"1060","10020","Cutrale Citrus Juices USA I, Lake, FL",25.9,"Gas",NA,"158.7 (1060)","$0.4 [40]","NA [NA]","0.02 [55]","9,100 [65]","17,398 [57]","431,829 [69]"
"1061","10058","General Electric Diesel Engine Plant, Mercer, PA",3.8,"Oil",NA,"158.6 (1061)","$3.7 [73]","NA [NA]","0.01 [42]","2,936 [47]","4,197 [36]","142,168 [47]"
"1062","7829","Smarr Energy Facility, Monroe, GA",234.7,"Gas",NA,"158.4 (1062)","$0.9 [50]","NA [NA]","0.18 [78]","326 [10]","2,275 [27]","210,926 [56]"
"1063","60933","Hopewell Cogeneration NJ, Mercer, NJ",5.7,"Gas",NA,"158.3 (1063)","$2.4 [66]","NA [NA]","0 [32]","1,469 [35]","19,427 [59]","1,395,393 [87]"
"1064","58704","Zeeland Farm Services, Ottawa, MI",12.7,"Other",NA,"158.2 (1064)","$2.4 [66]","NA [NA]","0.01 [39]","2,435 [44]","15,107 [55]","286,664 [61]"
"1065","57123","Trail Ridge Landfill Gas Recovery, Duval, FL",59.3,"Other",NA,"158.1 (1065)","$2 [62]","NA [NA]","0.04 [65]","NA [NA]","2,327 [27]","399,883 [67]"
"1066","715","McManus, Glynn, GA",9.8,"Oil",NA,"157.9 (1066)","$1.1 [53]","0 [8]","0.01 [47]","6,525 [60]","24,658 [63]","55,196 [27]"
"1067","1439","Houma, Terrebonne, LA",27.4,"Gas",NA,"157.8 (1067)","$0.2 [30]","0 [16]","0.02 [54]","15,650 [73]","26,935 [65]","87,006 [36]"
"1068","10108","Hampton Facility, Rockingham, NH",30.9,"Gas",NA,"157.8 (1068)","$1.6 [58]","NA [NA]","0.02 [53]","2,118 [41]","4,858 [38]","240,413 [59]"
"1069","7955","Elk City Station, Douglas, NE",45.1,"Other",NA,"157.7 (1069)","$3.3 [71]","NA [NA]","0.04 [62]","116 [2]","993 [14]","234,068 [58]"
"1070","10549","Al Turi, Orange, NY",5.1,"Other",NA,"157.7 (1070)","$1.7 [60]","NA [NA]","0 [35]","5,847 [59]","29,824 [66]","362,104 [65]"
"1071","56419","Beecher Gas Recovery, Will, IL",14.4,"Other",NA,"157.3 (1071)","$2.1 [63]","NA [NA]","0.01 [42]","467 [16]","13,037 [53]","1,430,562 [87]"
"1072","55053","Bridgeport Gas Processing Plant, Wise, TX",52.6,"Gas",NA,"157.3 (1072)","$2.4 [66]","NA [NA]","0.03 [60]","1,084 [29]","4,097 [36]","56,033 [27]"
"1073","7989","Sylvarena Generating Plant, Smith, MS",253,"Gas",NA,"157.2 (1073)","$0.3 [35]","0.4 [26]","0.15 [77]","194 [5]","1,658 [21]","72,440 [32]"
"1074","58664","Frito Lay Incorporated, Windham, CT",23.4,"Gas",NA,"157 (1074)","$1.2 [54]","NA [NA]","0.02 [54]","1,351 [33]","6,370 [43]","480,315 [72]"
"1075","55526","Atascosita, Harris, TX",5.8,"Other",NA,"157 (1075)","$0.3 [35]","NA [NA]","0 [34]","31,982 [83]","114,293 [85]","2,644,515 [94]"
"1076","59436","Lennon Generating, Shiawassee, MI",30.9,"Other",NA,"156.8 (1076)","$3.2 [71]","NA [NA]","0.02 [50]","536 [17]","3,049 [31]","252,876 [59]"
"1077","62250","NYC-HH-New Bellevue Hospital, New York, NY",0.2,"Oil",NA,"156.7 (1077)","$0.4 [38]","NA [NA]","0 [19]","408,286 [99]","1,872,812 [100]","7,278,640 [100]"
"1078","4266","Spencer, Denton, TX",9.4,"Gas",NA,"156.6 (1078)","$0 [22]","0 [12]","0.01 [40]","37,575 [86]","59,035 [76]","1,215,592 [85]"
"1079","535","McClellan (CA), Sacramento, CA",7.1,"Gas",NA,"156.5 (1079)","$0.2 [33]","NA [NA]","0.01 [35]","62,653 [92]","216,478 [92]","883,175 [81]"
"1080","4014","Wheaton Generating Plant, Chippewa, WI",18.9,"Oil","2025","156.4 (1080)","$1.2 [54]","0 [16]","0.02 [54]","598 [19]","14,317 [54]","45,712 [23]"
"1081","3157","Chester Generating Station, Chester, PA",1.6,"Oil",NA,"156.3 (1081)","$0.4 [39]","0 [5]","0 [29]","35,374 [85]","62,211 [77]","1,827,406 [90]"
"1082","58811","Beaver Dam, Bradford, PA",64.6,"Gas",NA,"156.2 (1082)","$7.3 [82]","NA [NA]","0.03 [59]","278 [8]","1,104 [15]","40,638 [20]"
"1083","56283","Hargis-Hebert Electric Generating Statio, Lafayette, LA",29.5,"Gas",NA,"156.2 (1083)","$0.1 [26]","0 [12]","0.02 [53]","8,628 [65]","53,401 [75]","200,064 [55]"
"1084","3139","TalenEnergy Martin Creek LLC Allentown, Lehigh, PA",1.7,"Oil",NA,"156.1 (1084)","$0.6 [43]","NA [NA]","0 [30]","81,249 [94]","127,798 [87]","406,188 [67]"
"1085","57168","Waste Management Naples LFGTE Project, Collier, FL",18.1,"Other",NA,"156.1 (1085)","$0.6 [45]","NA [NA]","0.01 [47]","8,425 [64]","44,323 [73]","197,938 [54]"
"1086","55866","Basin Creek Plant, Silver Bow, MT",129.8,"Gas",NA,"156.1 (1086)","$2.2 [64]","NA [NA]","0.07 [70]","498 [17]","6,900 [44]","11,673 [7]"
"1087","56686","King & Queen, King and Queen, VA",67.3,"Other",NA,"155.9 (1087)","$4.8 [77]","NA [NA]","0.04 [65]","NA [NA]","786 [11]","66,225 [30]"
"1088","55592","Mallard Lake Electric, DuPage, IL",3.5,"Other",NA,"155.9 (1088)","$0.3 [35]","NA [NA]","0 [34]","28,840 [81]","113,457 [85]","2,722,177 [94]"
"1089","50570","Chestnut Ridge Gas Recovery, Anderson, TN",29.8,"Other",NA,"155.8 (1089)","$1.4 [56]","NA [NA]","0.02 [55]","1,114 [30]","9,630 [49]","205,388 [55]"
"1090","58865","Reventure Park, Mecklenburg, NC",12.6,"Other",NA,"155.8 (1090)","$0.4 [40]","NA [NA]","0.01 [41]","13,436 [71]","48,542 [74]","755,155 [80]"
"1091","56120","Lee County Landfill, Lee, SC",23.7,"Other",NA,"155.6 (1091)","$1.1 [52]","NA [NA]","0.03 [58]","3,034 [48]","4,832 [38]","161,079 [51]"
"1092","57403","Northwest Regional, Maricopa, AZ",23.1,"Other",NA,"155.6 (1092)","$0.8 [49]","NA [NA]","0.02 [50]","1,315 [32]","14,864 [55]","1,047,889 [84]"
"1093","58185","Amherst College Co Gen, Hampshire, MA",9.1,"Gas",NA,"155.5 (1093)","$0.7 [46]","NA [NA]","0.01 [47]","14,182 [72]","17,623 [57]","252,860 [59]"
"1094","56326","Mustang Station (56326), Yoakum, TX",851.4,"Gas",NA,"155.5 (1094)","$1 [52]","NA [NA]","0.63 [86]","NA [NA]","3,234 [32]","37,449 [19]"
"1095","55597","GRS C&C, Calhoun, MI",28.5,"Other",NA,"155.3 (1095)","$2.7 [68]","NA [NA]","0.03 [61]","223 [6]","2,516 [29]","136,697 [46]"
"1096","61414","NY Times Daily Production Facility, Queens, NY",0.2,"Oil",NA,"155.2 (1096)","$0.3 [36]","NA [NA]","0 [20]","328,231 [98]","1,565,070 [99]","7,184,657 [99]"
"1097","57582","Lycoming County, Lycoming, PA",20.5,"Other",NA,"155.2 (1097)","$2.3 [66]","NA [NA]","0.01 [48]","3,924 [52]","5,873 [42]","75,365 [33]"
"1098","10129","Indiana University of Pennsylvania, Indiana, PA",16.2,"Gas",NA,"155 (1098)","$2 [62]","NA [NA]","0.01 [42]","8,007 [63]","10,029 [50]","94,249 [39]"
"1099","50620","Flambeau River Papers, Price, WI",21.8,"Other",NA,"154.9 (1099)","$2.4 [66]","NA [NA]","0.17 [77]","641 [21]","776 [11]","6,025 [4]"
"1100","58166","Smith College Central Heating Plant, Hampshire, MA",13.7,"Gas",NA,"154.7 (1100)","$0.9 [50]","NA [NA]","0.01 [47]","6,505 [60]","14,055 [54]","251,793 [59]"
"1101","56523","Two Pine Landfill Gas Recovery, Pulaski, AR",15.9,"Other",NA,"154.6 (1101)","$0.7 [46]","NA [NA]","0.01 [45]","8,087 [63]","35,485 [69]","239,309 [59]"
"1102","54550","ExxonMobil Mobile Bay Onshore, Mobile, AL",86.3,"Gas",NA,"154.4 (1102)","$0.6 [43]","NA [NA]","0.07 [69]","995 [28]","6,262 [42]","224,199 [57]"
"1103","2290","Jones Street, Douglas, NE",1.3,"Oil",NA,"154.4 (1103)","$0.4 [39]","NA [NA]","0.01 [37]","49,668 [89]","134,523 [88]","228,611 [57]"
"1104","57706","Blue Water Renewables Inc, St Clair, MI",26.8,"Other",NA,"154.2 (1104)","$3 [70]","NA [NA]","0.02 [50]","741 [23]","3,813 [35]","133,136 [46]"
"1105","55210","Afton Generating Station, Dona Ana, NM",407.9,"Gas",NA,"154 (1105)","$0 [22]","0.1 [21]","0.38 [82]","NA [NA]","1,884 [24]","301,862 [62]"
"1106","54240","Louisiana Tech University Power Plant, Lincoln, LA",48.8,"Gas",NA,"154 (1106)","$0.4 [39]","NA [NA]","0.04 [64]","9,618 [66]","18,493 [58]","64,347 [30]"
"1107","7774","Cleveland Peaking, Cuyahoga, OH",0.7,"Oil",NA,"153.7 (1107)","$0.4 [38]","0 [4]","0 [25]","69,297 [93]","184,536 [90]","641,058 [77]"
"1108","60701","JED Solid Waste Mgmt Renewable Energy, Osceola, FL",55.7,"Other",NA,"153.7 (1108)","$2.2 [64]","NA [NA]","0.04 [66]","139 [3]","139 [1]","421,117 [68]"
"1109","57023","Waste Management Rolling Meadows LFGTE, Shawnee, KS",47,"Other",NA,"153.7 (1109)","$3 [70]","NA [NA]","0.04 [62]","355 [12]","1,312 [18]","87,224 [36]"
"1110","56681","Amelia, Amelia, VA",45.7,"Other",NA,"153.6 (1110)","$2.7 [68]","NA [NA]","0.03 [61]","849 [25]","1,096 [15]","86,998 [36]"
"1111","151","McClure, Stanislaus, CA",3,"Oil",NA,"153.6 (1111)","$0.3 [37]","NA [NA]","0 [33]","45,215 [88]","142,599 [88]","542,745 [74]"
"1112","54337","NRG Energy San Diego, San Diego, CA",1.9,"Gas",NA,"153.5 (1112)","$0.3 [34]","NA [NA]","0 [29]","67,290 [92]","309,940 [94]","1,193,693 [85]"
"1113","57475","John L. Featherstone Plant, Imperial, CA",416,"Other",NA,"153.3 (1113)","$2.3 [65]","NA [NA]","0.03 [61]","766 [23]","1,589 [21]","90,663 [38]"
"1114","57186","Chautauqua LFGTE Facility, Chautauqua, NY",43.5,"Other",NA,"153.2 (1114)","$4 [75]","NA [NA]","0.04 [62]","184 [5]","1,325 [18]","56,135 [27]"
"1115","50626","Chalmette Refining LLC, St Bernard, LA",13,"Other",NA,"153.2 (1115)","$3.6 [73]","NA [NA]","0 [0]","32,041 [83]","123,924 [86]","475,082 [71]"
"1116","50750","Coalinga Cogeneration Facility, Fresno, CA",48.7,"Gas",NA,"153.2 (1116)","$0.8 [48]","NA [NA]","0.04 [65]","6,188 [60]","6,811 [44]","33,567 [18]"
"1117","50316","Bunge North America East LLC, Adams, IN",7.4,"Gas",NA,"153.1 (1117)","$0.9 [50]","NA [NA]","0.03 [61]","2,572 [45]","3,610 [34]","147,139 [48]"
"1118","201","Thomas Fitzhugh, Franklin, AR",200.4,"Gas",NA,"153.1 (1118)","$0.4 [39]","0 [17]","0.15 [77]","344 [11]","2,609 [29]","40,437 [20]"
"1119","3163","Moser Generating Station, Montgomery, PA",2.4,"Oil",NA,"153 (1119)","$0.6 [44]","0 [6]","0 [31]","12,922 [70]","21,767 [61]","1,303,599 [86]"
"1120","59221","Pecan Row Landfill To Electric Facility, Lowndes, GA",35.2,"Other",NA,"152.8 (1120)","$1 [52]","NA [NA]","0.03 [56]","1,082 [29]","28,638 [66]","94,170 [39]"
"1121","52148","Elkton, Rockingham, VA",15.2,"Gas",NA,"152.8 (1121)","$1.2 [54]","NA [NA]","0.05 [66]","1,050 [28]","2,288 [27]","116,377 [43]"
"1122","58193","Bonanza BioEnergy LLC, Finney, KS",3.5,"Gas",NA,"152.8 (1122)","$0.4 [38]","NA [NA]","0.06 [68]","13,685 [71]","17,129 [57]","21,121 [13]"
"1123","55035","Davenport Water Pollution Control Plant, Scott, IA",8,"Other",NA,"152.7 (1123)","$1.5 [57]","NA [NA]","0 [33]","14,223 [72]","49,820 [74]","104,088 [40]"
"1124","57133","G2 Energy Ostrom Road LLC, Yuba, CA",26.9,"Other",NA,"152.6 (1124)","$2.2 [64]","NA [NA]","0.02 [51]","427 [15]","2,820 [30]","392,346 [66]"
"1125","7764","MPC Generating, Walton, GA",18.5,"Gas",NA,"152.5 (1125)","$0.1 [28]","0 [14]","0.01 [47]","6,576 [60]","10,946 [51]","831,908 [81]"
"1126","56108","T J Labbe Electric Generating Station, Lafayette, LA",17.8,"Gas",NA,"152.5 (1126)","$0.1 [24]","0 [11]","0.01 [46]","28,085 [81]","64,077 [77]","205,071 [55]"
